id,name,short,category,family,package,fn,engine,level,status,structures_text,diagnostics_text
ordered-logit,Ordered Logit,R workflow for ordered logit,Limited dependent variables,limited,MASS,polr,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
ordered-probit,Ordered Probit,R workflow for ordered probit,Limited dependent variables,limited,MASS,polr,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
poisson,Poisson Regression,Count-data model with log link,Limited dependent variables,limited,stats,glm,Offline + webR,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
negbin,Negative Binomial Regression,R workflow for negative binomial regression,Limited dependent variables,limited,MASS,glm.nb,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
zero-inflated-poisson,Zero-Inflated Poisson,R workflow for zero-inflated poisson,Limited dependent variables,limited,pscl,zeroinfl,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
zero-inflated-negbin,Zero-Inflated Negative Binomial,R workflow for zero-inflated negative binomial,Limited dependent variables,limited,pscl,zeroinfl,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
hurdle-poisson,Poisson Hurdle Model,R workflow for poisson hurdle model,Limited dependent variables,limited,pscl,hurdle,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
hurdle-negbin,Negative-Binomial Hurdle Model,R workflow for negative-binomial hurdle model,Limited dependent variables,limited,pscl,hurdle,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
tobit,Tobit Regression,R workflow for tobit regression,Limited dependent variables,limited,AER,tobit,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
censored-regression,Censored Regression,R workflow for censored regression,Limited dependent variables,limited,censReg,censReg,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
truncated-regression,Truncated Regression,R workflow for truncated regression,Limited dependent variables,limited,truncreg,truncreg,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
fractional-logit,Fractional Logit,R workflow for fractional logit,Limited dependent variables,limited,frm,frm,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
beta-regression,Beta Regression,R workflow for beta regression,Limited dependent variables,limited,betareg,betareg,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
heckman,Heckman Sample-Selection Model,R workflow for heckman sample-selection model,Limited dependent variables,limited,sampleSelection,selection,native R,Intermediate,Method-aware adapter,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
treatment-effects,Endogenous Treatment-Effects Model,R workflow for endogenous treatment-effects model,Limited dependent variables,limited,sampleSelection,treatReg,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
endogenous-switching,Endogenous Switching Regression,R workflow for endogenous switching regression,Limited dependent variables,limited,sampleSelection,selection,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
bivariate-probit,Bivariate Probit,R workflow for bivariate probit,Limited dependent variables,limited,GJRM,gjrm,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
interval-regression,Interval Regression,R workflow for interval regression,Limited dependent variables,limited,survival,survreg,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
quantile-count,Quantile Count Regression,R workflow for quantile count regression,Limited dependent variables,limited,Qtools,qpoisreg,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
rare-events-logit,Rare-Events Logit,R workflow for rare-events logit,Limited dependent variables,limited,Zelig,zelig,native R,Intermediate,Generic R scaffold,Cross-section | Panel,Outcome support | Goodness of fit | Marginal effects | Specification
randomized-experiment,Randomised Experiment Analysis,R workflow for randomised experiment analysis,Causal inference,causal,estimatr,lm_robust,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
matching,Covariate Matching,R workflow for covariate matching,Causal inference,causal,MatchIt,matchit,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
psm,Propensity-Score Matching,R workflow for propensity-score matching,Causal inference,causal,MatchIt,matchit,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
nearest-neighbor-matching,Nearest-Neighbour Matching,R workflow for nearest-neighbour matching,Causal inference,causal,Matching,Match,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
coarsened-exact,Coarsened Exact Matching,R workflow for coarsened exact matching,Causal inference,causal,cem,cem,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
entropy-balancing,Entropy Balancing,R workflow for entropy balancing,Causal inference,causal,ebal,ebalance,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
ipw,Inverse-Probability Weighting,R workflow for inverse-probability weighting,Causal inference,causal,WeightIt,weightit,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
regression-adjustment,Regression Adjustment,R workflow for regression adjustment,Causal inference,causal,estimatr,lm_robust,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
doubly-robust,Doubly Robust Estimation,R workflow for doubly robust estimation,Causal inference,causal,DRDID,drdid,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
aipw,Augmented IPW,R workflow for augmented ipw,Causal inference,causal,AIPW,AIPW,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
did,Difference-in-Differences,R workflow for difference-in-differences,Causal inference,causal,fixest,feols,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
staggered-did,Staggered-Adoption DiD,R workflow for staggered-adoption did,Causal inference,causal,did,att_gt,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
event-study-did,Dynamic Event-Study DiD,R workflow for dynamic event-study did,Causal inference,causal,did,aggte,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
sun-abraham,Sun–Abraham Event Study,R workflow for sun–abraham event study,Causal inference,causal,fixest,sunab,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
synthetic,Synthetic Control,R workflow for synthetic control,Causal inference,causal,Synth,synth,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
generalized-synthetic,Generalised Synthetic Control,R workflow for generalised synthetic control,Causal inference,causal,gsynth,gsynth,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
synthetic-did,Synthetic Difference-in-Differences,R workflow for synthetic difference-in-differences,Causal inference,causal,synthdid,synthdid_estimate,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
rdd,Sharp Regression Discontinuity,R workflow for sharp regression discontinuity,Causal inference,causal,rdrobust,rdrobust,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
fuzzy-rdd,Fuzzy Regression Discontinuity,R workflow for fuzzy regression discontinuity,Causal inference,causal,rdrobust,rdrobust,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
regression-kink,Regression Kink Design,R workflow for regression kink design,Causal inference,causal,rdrobust,rdrobust,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
iv-causal,Instrumental-Variables Causal Effect,R workflow for instrumental-variables causal effect,Causal inference,causal,ivreg,ivreg,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
interrupted-time-series,Interrupted Time Series,R workflow for interrupted time series,Causal inference,causal,CausalImpact,CausalImpact,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
causal-impact,Bayesian Structural Causal Impact,R workflow for bayesian structural causal impact,Causal inference,causal,CausalImpact,CausalImpact,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
causal-forest,Causal Forest,R workflow for causal forest,Causal inference,causal,grf,causal_forest,native R,Advanced,Method-aware adapter,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
double-ml,Double Machine Learning,R workflow for double machine learning,Causal inference,causal,DoubleML,DoubleMLPLR,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
tmle,Targeted Maximum-Likelihood Estimation,R workflow for targeted maximum-likelihood estimation,Causal inference,causal,tmle,tmle,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
mediation,Causal Mediation Analysis,R workflow for causal mediation analysis,Causal inference,causal,mediation,mediate,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
sensitivity,Causal Sensitivity Analysis,R workflow for causal sensitivity analysis,Causal inference,causal,sensemakr,sensemakr,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
treatment-heterogeneity,Treatment-Effect Heterogeneity,R workflow for treatment-effect heterogeneity,Causal inference,causal,grf,causal_forest,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
causal-discovery,Causal Discovery,R workflow for causal discovery,Causal inference,causal,pcalg,pc,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
negative-control,Negative-Control Analysis,R workflow for negative-control analysis,Causal inference,causal,controlOutcome,controlOutcome,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
placebo-test,Placebo / Falsification Test,R workflow for placebo / falsification test,Causal inference,causal,custom,placebo_test,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
bounds-rosenbaum,Rosenbaum Sensitivity Bounds,R workflow for rosenbaum sensitivity bounds,Causal inference,causal,rbounds,psens,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
front-door,Front-Door Adjustment,R workflow for front-door adjustment,Causal inference,causal,dagitty,adjustmentSets,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
g-computation,G-Computation,R workflow for g-computation,Causal inference,causal,gfoRmula,gformula,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
marginal-structural,Marginal Structural Model,R workflow for marginal structural model,Causal inference,causal,ipw,ipwpoint,native R,Advanced,Generic R scaffold,Cross-section | Panel | Time series,Identification assumptions | Balance or pre-trends | Sensitivity | Placebos
spatial-weights,Spatial-Weights Construction,R workflow for spatial-weights construction,Spatial econometrics,spatial,spdep,nb2listw,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
moran-i,Global Moran’s I,R workflow for global moran’s i,Spatial econometrics,spatial,spdep,moran.test,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
geary-c,Geary’s C,R workflow for geary’s c,Spatial econometrics,spatial,spdep,geary.test,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
lisa,Local Indicators of Spatial Association,R workflow for local indicators of spatial association,Spatial econometrics,spatial,spdep,localmoran,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-lag,Spatial Lag Model,R workflow for spatial lag model,Spatial econometrics,spatial,spatialreg,lagsarlm,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-error,Spatial Error Model,R workflow for spatial error model,Spatial econometrics,spatial,spatialreg,errorsarlm,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-durbin,Spatial Durbin Model,R workflow for spatial durbin model,Spatial econometrics,spatial,spatialreg,lagsarlm,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
sac,Spatial Autoregressive Combined Model,R workflow for spatial autoregressive combined model,Spatial econometrics,spatial,spatialreg,sacsarlm,native R,Advanced,Method-aware adapter,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-durbin-error,Spatial Durbin Error Model,R workflow for spatial durbin error model,Spatial econometrics,spatial,spatialreg,errorsarlm,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-panel-fe,Spatial Panel Fixed Effects,R workflow for spatial panel fixed effects,Spatial econometrics,spatial,splm,spml,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-panel-re,Spatial Panel Random Effects,R workflow for spatial panel random effects,Spatial econometrics,spatial,splm,spml,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-probit,Spatial Probit,R workflow for spatial probit,Spatial econometrics,spatial,spatialprobit,spatialprobit,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-logit,Spatial Logit,R workflow for spatial logit,Spatial econometrics,spatial,McSpatial,splogit,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-gmm,Spatial GMM,R workflow for spatial gmm,Spatial econometrics,spatial,sphet,spreg,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
gwr,Geographically Weighted Regression,R workflow for geographically weighted regression,Spatial econometrics,spatial,GWmodel,gwr.basic,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-convergence,Spatial Convergence Regression,R workflow for spatial convergence regression,Spatial econometrics,spatial,spatialreg,lagsarlm,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-impacts,Direct and Indirect Spatial Impacts,R workflow for direct and indirect spatial impacts,Spatial econometrics,spatial,spatialreg,impacts,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
dynamic-spatial-panel,Dynamic Spatial Panel,R workflow for dynamic spatial panel,Spatial econometrics,spatial,SDPDmod,SDPDm,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
spatial-quantile,Spatial Quantile Regression,R workflow for spatial quantile regression,Spatial econometrics,spatial,spqreg,spqreg,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
bayesian-spatial,Bayesian Spatial Regression,R workflow for bayesian spatial regression,Spatial econometrics,spatial,CARBayes,S.CARleroux,native R,Advanced,Generic R scaffold,Spatial cross-section | Spatial panel,Spatial weights | Residual spatial dependence | Direct and indirect impacts
dea,Data Envelopment Analysis,R workflow for data envelopment analysis,Efficiency and productivity,efficiency,Benchmarking,dea,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
bootstrap-dea,Bootstrap DEA,R workflow for bootstrap dea,Efficiency and productivity,efficiency,rDEA,dea.boot,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
network-dea,Network DEA,R workflow for network dea,Efficiency and productivity,efficiency,deaR,model_network,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
dynamic-dea,Dynamic DEA,R workflow for dynamic dea,Efficiency and productivity,efficiency,deaR,model_dynamic,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
malmquist,Malmquist Productivity Index,R workflow for malmquist productivity index,Efficiency and productivity,efficiency,Benchmarking,malmquist,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
sfa,Stochastic Frontier Analysis,R workflow for stochastic frontier analysis,Efficiency and productivity,efficiency,frontier,sfa,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
cost-frontier,Stochastic Cost Frontier,R workflow for stochastic cost frontier,Efficiency and productivity,efficiency,frontier,sfa,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
profit-frontier,Stochastic Profit Frontier,R workflow for stochastic profit frontier,Efficiency and productivity,efficiency,frontier,sfa,native R,Advanced,Method-aware adapter,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
distance-function,Distance-Function Frontier,R workflow for distance-function frontier,Efficiency and productivity,efficiency,frontier,sfa,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
metafrontier,Metafrontier Analysis,R workflow for metafrontier analysis,Efficiency and productivity,efficiency,metafrontier,metafrontier,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
true-fe-frontier,True Fixed-Effects Frontier,R workflow for true fixed-effects frontier,Efficiency and productivity,efficiency,sfpanel,sfmodel,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
latent-class-frontier,Latent-Class Frontier,R workflow for latent-class frontier,Efficiency and productivity,efficiency,frontier,sfa,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
order-m,Order-m Efficiency,R workflow for order-m efficiency,Efficiency and productivity,efficiency,FEAR,dea,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
free-disposal-hull,Free Disposal Hull,R workflow for free disposal hull,Efficiency and productivity,efficiency,Benchmarking,dea,native R,Advanced,Generic R scaffold,Cross-section | Panel,Returns to scale | Orientation | Distribution assumptions | Outlier sensitivity
bayes-lm,Bayesian Linear Regression,R workflow for bayesian linear regression,Bayesian econometrics,bayesian,rstanarm,stan_glm,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-glm,Bayesian Generalised Linear Model,R workflow for bayesian generalised linear model,Bayesian econometrics,bayesian,rstanarm,stan_glm,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-model-averaging,Bayesian Model Averaging,R workflow for bayesian model averaging,Bayesian econometrics,bayesian,BMS,bms,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-panel,Bayesian Panel Model,R workflow for bayesian panel model,Bayesian econometrics,bayesian,brms,brm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bsts,Bayesian Structural Time Series,R workflow for bayesian structural time series,Bayesian econometrics,bayesian,bsts,bsts,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-state-space,Bayesian State-Space Model,R workflow for bayesian state-space model,Bayesian econometrics,bayesian,nimble,nimbleModel,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-stochastic-vol,Bayesian Stochastic Volatility,R workflow for bayesian stochastic volatility,Bayesian econometrics,bayesian,stochvol,svsample,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-changepoint,Bayesian Change-Point Model,R workflow for bayesian change-point model,Bayesian econometrics,bayesian,bcp,bcp,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
hierarchical-bayes,Hierarchical Bayesian Model,R workflow for hierarchical bayesian model,Bayesian econometrics,bayesian,brms,brm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
mcmc,Markov-Chain Monte Carlo,R workflow for markov-chain monte carlo,Bayesian econometrics,bayesian,coda,mcmc,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
variational-bayes,Variational Bayesian Inference,R workflow for variational bayesian inference,Bayesian econometrics,bayesian,rstan,vb,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
posterior-predictive,Posterior Predictive Check,R workflow for posterior predictive check,Bayesian econometrics,bayesian,bayesplot,pp_check,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-factor,Bayes Factor,R workflow for bayes factor,Bayesian econometrics,bayesian,BayesFactor,generalTestBF,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayes-forecast,Bayesian Forecasting,R workflow for bayesian forecasting,Bayesian econometrics,bayesian,bsts,predict,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayesian-quantile,Bayesian Quantile Regression,R workflow for bayesian quantile regression,Bayesian econometrics,bayesian,bayesQR,bayesQR,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayesian-var,Bayesian VAR,R workflow for bayesian var,Bayesian econometrics,bayesian,BVAR,bvar,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
bayesian-sem,Bayesian SEM,R workflow for bayesian sem,Bayesian econometrics,bayesian,blavaan,bsem,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Convergence | Effective sample size | Posterior predictive checks | Prior sensitivity
kernel-regression,Kernel Regression,R workflow for kernel regression,Non-parametric and semiparametric,nonparametric,np,npreg,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
local-polynomial,Local Polynomial Regression,R workflow for local polynomial regression,Non-parametric and semiparametric,nonparametric,np,npreg,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
kernel-density,Kernel Density Estimation,R workflow for kernel density estimation,Non-parametric and semiparametric,nonparametric,stats,density,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
single-index,Semiparametric Single-Index Model,R workflow for semiparametric single-index model,Non-parametric and semiparametric,nonparametric,np,npindex,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
partially-linear,Partially Linear Model,R workflow for partially linear model,Non-parametric and semiparametric,nonparametric,np,npplreg,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
additive-nonparametric,Non-parametric Additive Model,R workflow for non-parametric additive model,Non-parametric and semiparametric,nonparametric,mgcv,gam,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
sieve-estimation,Sieve Estimation,R workflow for sieve estimation,Non-parametric and semiparametric,nonparametric,splines,bs,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
nonparametric-quantile,Non-parametric Quantile Regression,R workflow for non-parametric quantile regression,Non-parametric and semiparametric,nonparametric,quantreg,lprq,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
bootstrap,Bootstrap Inference,R workflow for bootstrap inference,Non-parametric and semiparametric,nonparametric,boot,boot,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
wild-bootstrap,Wild Bootstrap,R workflow for wild bootstrap,Non-parametric and semiparametric,nonparametric,fwildclusterboot,boottest,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
block-bootstrap,Block Bootstrap,R workflow for block bootstrap,Non-parametric and semiparametric,nonparametric,boot,tsboot,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
permutation-test,Permutation Test,R workflow for permutation test,Non-parametric and semiparametric,nonparametric,coin,independence_test,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
empirical-likelihood,Empirical Likelihood,R workflow for empirical likelihood,Non-parametric and semiparametric,nonparametric,emplik,el.test,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
generalized-empirical-likelihood,Generalised Empirical Likelihood,R workflow for generalised empirical likelihood,Non-parametric and semiparametric,nonparametric,gmm,gel,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
isotonic,Isotonic Regression,R workflow for isotonic regression,Non-parametric and semiparametric,nonparametric,stats,isoreg,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
